Query_ID,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,nDCG@3,nDCG@5,MAP,F1-Score
AILA_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q2,0.0,0.0,0.2,0.0,0.0,0.5,0.25,0.0,0.2640681225725909,0.125,0.28571428571428575
AILA_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q5,1.0,0.3333333333333333,0.2,0.2,0.2,0.2,1.0,0.46927872602275644,0.3391602052736161,0.2,0.20000000000000004
AILA_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q11,0.0,0.0,0.2,0.0,0.0,0.5,0.25,0.0,0.2640681225725909,0.125,0.28571428571428575
AILA_Q12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q13,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.25,0.0,0.20210734650054757,0.08333333333333333,0.25
AILA_Q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
